paragraph_id,n_triples,combined_similarity
1183,26,0.723889
1184,21,0.914061
1185,7,0.879429
1186,9,0.890543
1187,14,0.894908
1188,12,0.965647
1189,22,0.904045
1190,18,0.921877
1191,13,0.825998
1192,9,0.943285
1193,20,0.877591
1194,18,0.893336
1195,18,0.897237
1196,15,0.779899
1197,15,0.946222
1198,14,0.928536
1199,12,0.929713
1200,19,0.898047
1201,11,0.956034
1202,13,0.925830
1203,19,0.802230
1204,12,0.865997
1205,19,0.949997
1206,18,0.934817
1207,19,0.903080
1208,10,0.896350
1209,18,0.911576
1210,21,0.803954
1211,13,0.954189
1212,19,0.883465
1213,21,0.914130
1214,9,0.914405
1215,12,0.908895
1216,16,0.881787
1217,11,0.820966
1218,9,0.783254
1219,8,0.904976
1220,18,0.892375
1221,15,0.749896
1222,11,0.909912
1223,25,0.882186
1224,8,0.929850
1225,19,0.891008
1226,11,0.894064
1227,20,0.869350
1228,16,0.905756
1229,17,0.878214
1230,23,0.945905
1231,21,0.801090
1232,19,0.911733
1233,14,0.913832
1234,19,0.892343
1235,27,0.869936
1236,12,0.906126
1237,16,0.843547
1238,8,0.818879
1239,14,0.793163
1240,28,0.898051
1241,14,0.881890
1242,28,0.774276
1243,16,0.920639
1244,26,0.911163
1245,10,0.855678
1246,12,0.831646
1247,11,0.845167
1248,17,0.899017
1249,11,0.892431
1250,13,0.893207
1251,12,0.861297
1252,18,0.943464
1253,17,0.911840
1254,15,0.852240
1255,17,0.929854
1256,17,0.956083
1257,21,0.827862
1258,27,0.879756
1259,13,0.907741
1260,19,0.805906
1261,24,0.912722
1262,20,0.921888
1263,22,0.911613
1264,13,0.862910
1265,17,0.867177
1266,20,0.849693
1267,28,0.929748
1268,20,0.942974
1269,19,0.951257
1270,12,0.886678
1271,12,0.893474
1272,17,0.887033
1273,21,0.927953
1274,16,0.907565
1275,25,0.877519
1276,6,0.754271
1277,10,0.915269
1278,16,0.927055
1279,21,0.802945
1280,10,0.917183
1281,34,0.758934
1282,13,0.896748
1283,17,0.909275
1284,20,0.933480
1285,13,0.928788
1286,12,0.922996
1287,16,0.834834
1288,16,0.924192
1289,14,0.851410
1290,16,0.945279
1291,16,0.865050
1292,11,0.874100
1293,15,0.953271
1294,38,0.938823
1295,20,0.872601
1296,26,0.406383
1297,22,0.900832
1298,18,0.948202
1299,24,0.907042
1300,12,0.891696
1301,11,0.766659
1302,31,0.897047
1303,10,0.914984
1304,15,0.894032
1305,17,0.789523
1306,25,0.925601
1307,24,0.946624
1308,17,0.900540
1309,29,0.769635
1310,12,0.970763
1311,13,0.920267
1312,13,0.884538
1313,15,0.905890
1314,12,0.903414
1315,17,0.862026
1316,11,0.915522
1317,25,0.971343
1318,19,0.896729
1319,17,0.895683
1320,14,0.920944
1321,23,0.884651
1322,13,0.926130
1323,18,0.889580
1324,10,0.920721
1325,15,0.923092
1326,17,0.881304
1327,19,0.924000
1328,9,0.905661
1329,19,0.796622
1330,16,0.921338
1331,22,0.894709
1332,33,0.784646
1333,16,0.905945
1334,24,0.905660
1335,1,0.954098
1336,15,0.929284
1337,20,0.746384
1338,24,0.899325
1339,11,0.935483
1340,12,0.920707
1341,15,0.882788
1342,13,0.826338
1343,15,0.907912
1344,15,0.951358
1345,17,0.878976
1346,16,0.912705
1347,16,0.858014
1348,16,0.937295
1349,16,0.734475
1350,11,0.946817
1351,18,0.925793
1352,20,0.826947
1353,18,0.958577
1354,13,0.891775
1355,22,0.953387
1356,13,0.848737
1357,9,0.844516
1358,11,0.773286
1359,16,0.944646
1360,6,0.934089
1361,17,0.885224
1362,26,0.802338
1363,11,0.875501
1364,15,0.910555
1365,11,0.753527
1366,16,0.875223
1367,22,0.771084
1368,5,0.933203
1369,10,0.876036
1370,12,0.800896
1371,12,0.912062
1372,19,0.892430
1373,14,0.894308
1374,18,0.881217
1375,21,0.830210
1376,39,0.861326
1377,22,0.981863
1378,13,0.776518
1379,26,0.945836
1380,18,0.783132
1381,18,0.880564
1382,14,0.875597
1383,17,0.963708
1384,21,0.895205
1385,31,0.882748
1386,16,0.933671
1387,13,0.960381
1388,10,0.909158
1389,20,0.911041
1390,16,0.849406
1391,13,0.781729
1392,14,0.860775
1393,15,0.922552
1394,17,0.810990
1395,13,0.871069
1396,16,0.863448
1397,12,0.929238
1398,10,0.784602
1399,18,0.803860
1400,22,0.920097
1401,20,0.940135
1402,23,0.859255
1403,9,0.940712
1404,37,0.871826
1405,13,0.942423
1406,16,0.919103
1407,12,0.804048
1408,18,0.945686
1409,18,0.846787
1410,11,0.956124
1411,15,0.742899
1412,15,0.951038
1413,14,0.887927
1414,16,0.741437
1415,28,0.889492
1416,24,0.809161
1417,17,0.923534
1418,17,0.807555
1419,10,0.858465
1420,19,0.902515
1421,28,0.914662
1422,15,0.930952
1423,19,0.931854
1424,19,0.918508
1425,26,0.770632
1426,13,0.944531
1427,10,0.807873
1428,15,0.700310
1429,8,0.865836
1430,15,0.951805
1431,10,0.828507
1432,15,0.839322
1433,13,0.932117
1434,24,0.898488
1435,19,0.926132
1436,10,0.905853
1437,25,0.901575
1438,13,0.919525
1439,14,0.899616
1440,10,0.973671
1441,17,0.917380
1442,16,0.948137
1443,16,0.830703
1444,13,0.885425
1445,13,0.940629
1446,17,0.892575
1447,26,0.907282
1448,12,0.903450
1449,25,0.852556
1450,11,0.919718
1451,17,0.922676
1452,8,0.938452
1453,19,0.902302
1454,16,0.896733
1455,13,0.942342
1456,9,0.795805
1457,18,0.540412
1458,15,0.908620
1459,10,0.765620
1460,26,0.910657
1461,25,0.776609
1462,14,0.922686
1463,20,0.911406
1464,16,0.861273
1465,12,0.947614
1466,20,0.961511
1467,22,0.863038
1468,8,0.865664
1469,12,0.893951
1470,22,0.835821
1471,22,0.864682
1472,12,0.928149
1473,5,0.674485
1474,16,0.921550
1475,20,0.930088
1476,13,0.934913
1477,14,0.827851
1478,17,0.927787
1479,16,0.906124
1480,8,0.931735
1481,28,0.849162
1482,14,0.918861
1483,12,0.950283
1484,17,0.870002
1485,21,0.951337
1486,27,0.644732
1487,21,0.894293
1488,11,0.904127
1489,18,0.901846
1490,18,0.849136
1491,10,0.963296
1492,17,0.843294
1493,17,0.896203
1494,17,0.912839
1495,17,0.868483
1496,15,0.772619
1497,32,0.907161
1498,12,0.840527
1499,21,0.939511
1500,22,0.887316
1501,25,0.871245
1502,20,0.899532
1503,11,0.920083
1504,26,0.868406
1505,16,0.919377
1506,22,0.938541
1507,11,0.934256
1508,24,0.896062
1509,14,0.926064
1510,17,0.845935
1511,19,0.918864
1512,17,0.932374
1513,21,0.941548
1514,15,0.951007
1515,16,0.844116
1516,18,0.800003
1517,17,0.666177
1518,21,0.901863
1519,21,0.963280
1520,10,0.937898
1521,16,0.925439
1522,20,0.916968
1523,21,0.885791
1524,18,0.874029
1525,17,0.866000
1526,29,0.843107
1527,18,0.955355
1528,20,0.926422
1529,8,0.928325
1530,16,0.751141
1531,15,0.937853
